game_id,bot1_name,bot1_rank,bot1_rating,bot1_race,bot1_result,bot2_name,bot2_rank,bot2_rating,bot2_race,bot2_result,map_name,game_length,timestamp,date_scraped,replay_link,downloaded
1,McRave,B,2844,protoss,Win,insanitybot,C,2580,terran,Loss,Neo Moon Glaive,8m 16s,2025.03.31 08:43 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/McRave/McRave%20vs%20insanitybot%20Neo%20Moon%20Glaive%20CTR_61C8568D.rep,True
2,MadMixR,D,2549,zerg_random,Win,EggBot,F,2186,protoss,Loss,Circuit Breaker,4m 19s,2025.03.31 08:42 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/MadMixR/MadMixR%20vs%20EggBot%20Circuit%20Breaker%20CTR_D59CDD4.rep,True
3,StyxZ2,D,2465,zerg,Win,NLPRbot,C,2595,zerg,Loss,La Mancha1.1,6m 16s,2025.03.31 08:41 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/StyxZ2/StyxZ2%20vs%20NLPRbot%20La%20Mancha1.1%20CTR_51401F87.rep,True
4,AILien,C,2590,zerg,Win,Sungguk Cha,E,2315,terran,Loss,Fighting Spirit,7m 57s,2025.03.31 08:41 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/AILien/AILien%20vs%20Sungguk%20Cha%20Fighting%20Spirit%20CTR_C67D4C5F.rep,True
5,tscmoop2,C,2682,protoss,Win,Trident,D,2590,terran,Loss,Jade,9m 2s,2025.03.31 08:41 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/tscmoop2/tscmoop2%20vs%20Trident%20Jade%20CTR_CA15249.rep,True
6,Marian Devecka,B,2777,zerg,Win,CUBOT,D,2480,zerg,Loss,Tau Cross,4m 37s,2025.03.31 08:40 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/Marian%20Devecka/Marian%20Devecka%20vs%20CUBOT%20Tau%20Cross%20CTR_920B3601.rep,True
7,krasi0,S,3388,terran,Win,Dragon,B,2993,terran,Loss,Destination,12m 31s,2025.03.31 08:39 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/krasi0/krasi0%20vs%20Dragon%20Destination%20CTR_6864E313.rep,True
8,BananaBrain,A,3317,protoss,Win,Sune Rasmussen,E,2355,protoss,Loss,Icarus,8m 16s,2025.03.31 08:38 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/BananaBrain/BananaBrain%20vs%20Sune%20Rasmussen%20Icarus%20CTR_47222024.rep,True
9,TyrProtoss,C,2634,protoss,Win,CUBOT,D,2480,zerg,Loss,Icarus,12m 28s,2025.03.31 08:38 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/TyrProtoss/TyrProtoss%20vs%20CUBOT%20Icarus%20CTR_7BB148B7.rep,True
10,tscmoor,B,2893,protoss_random,Win,Terminus,B,2972,terran,Loss,Andromeda,15m 26s,2025.03.31 08:36 pm,2025-03-31 20:54:24,https://data.basil-ladder.net/bots/tscmoor/tscmoor%20vs%20Terminus%20Andromeda%20CTR_ECC9226F.rep,True
11,Lukas Moravec,E,2447,protoss,Win,NiteKatP,E,2298,protoss,Loss,Jade,7m 18s,2025.03.31 08:36 pm,2025-03-31 20:56:26,https://data.basil-ladder.net/bots/Lukas%20Moravec/Lukas%20Moravec%20vs%20NiteKatP%20Jade%20CTR_2B1E44BE.rep,True
